code,courseNameEN,courseNameTH,credit,prerequisites,corequisites,category,curriculum,Year
2301263,Data Structures and Fundamental Algorithms,โครงสร้างข้อมูลและขั้นตอนวิธีหลักมูล,4,2301260,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301265,Data Structures Algorithms Designs and Analysis,โครงสร้างข้อมูล การออกแบบและวิเคราะห์ขั้นตอนวิธี,4,2301260,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301266,Elementary Data Literacy,ความฉลาดรู้เชิงข้อมูลเบื้องต้น,3,2301260,2301286,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301274,Computer Systems,ระบบคอมพิวเตอร์,3,2301260,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301275,Computer Networking,เครือข่ายคอมพิวเตอร์,3,2301170 OR 2301173,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301279,Introduction to Computer Network,ระบบเครือข่ายคอมพิวเตอร์เบื้องต้น,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301290,Computer Science Mini Project,โครงงานขนาดเล็กทางวิทยาการคอมพิวเตอร์,1,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301350,User Interface Design,การออกแบบส่วนประสานกับผู้ใช้,3,2301170 OR 2301173,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301351,Modern Cryptography,วิทยาการรหัสลับสมัยใหม่,3,2301220 OR 2301223,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301357,Architecting on Cloud,สถาปัตย์บนคลาวด์,3,2301371,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301360,Information Systems Management,การจัดการระบบสารสนเทศ,3,2301170 OR 2301173,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301361,Systems Analysis and Design,การวิเคราะห์และออกแบบระบบ,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301362,Computer Network Design,การออกแบบเครือข่ายคอมพิวเตอร์,3,,2301279 OR 2301369,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301365,Algorithm Designs and Analysis,การออกแบบและวิเคราะห์ขั้นตอนวิธี,4,2301263 AND (2301232 OR 2301233 OR 2110200),,Major Courses,เอกเดี่ยว-2561,2566
2301367,Software Engineering Methodology and Development,วิธีการและการพัฒนาทางวิศวกรรมซอฟต์แวร์,3,2301375,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301368,Image Processing,การประมวลภาพ,3,2301234 AND (2301263 OR 2301265),,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301369,Data Communication I,การสื่อสารข้อมูล 1,3,2301260,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301371,Operating Systems,ระบบปฏิบัติการ,3,(2301263 OR 2301265) AND 2301274,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301375,Database Systems,ระบบฐานข้อมูล,3,2301263,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301377,Computer Graphics,คอมพิวเตอร์กราฟิกส์,3,2301234 AND (2301263 OR 2301265),,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301379,Theory of Computation,ทฤษฎีคอมพิวเทชัน,3,2301230 OR 2301232 OR 2301233,,Major Courses,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301380,Programming Language Principles and Processing,หลักการและการประมวลภาษาโปรแกรม,3,2301274 AND 2301379,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2300398,Preparation for Computer Science Internship,การเตรียมความพร้อมสำหรับการฝึกงานทางวิทยการคอมพิวเตอร์,1,,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกโท-ฝึกงาน-2566",2566
2301398,Computer Science Internship,การฝึกงานทางวิทยาการคอมพิวเตอร์,3,2300398,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกโท-ฝึกงาน-2566",2566
2301399,Project Proposal,การเสนอโครงงาน,1,,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301445,Quantum Computation,การคำนวณเชิงควอนตัม,3,2301263 OR 2301265,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301451,Software Testing,การทดสอบซอฟต์แวร์,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301452,Software Design,การออกแบบซอฟต์แวร์,3,2301367 OR 2110423,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301455,Sequence Analysis Algorithms in Bioinformatics,ขั้นตอนวิธีการวิเคราะห์ลำดับข้อมูลในชีวสารสนเทศศาสตร์,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301456,Introduction to Data Warehouse and Data Mining,คลังข้อมูลและการทำเหมืองข้อมูลเบื้องต้น,3,2301375,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301457,Mathematical Perspectives on Machine Learning Algorithms,มุมมองทางคณิตศาสตร์สำหรับขั้นตอนวิธีการเรียนรู้ของเครื่อง,3,2301268 AND 2301234,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301462,Distributed Operating Systems,ระบบปฏิบัติการแบบกระจาย,3,2301371,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301463,Distributed Database Systems,ระบบฐานข้อมูลแบบกระจาย,3,2301375,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301466,Introduction to Mobile Computing,การคำนวณสำหรับอุปกรณ์เคลื่อนที่เบื้องต้น,3,2301279 OR 2301369,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301468,Computer Vision,คอมพิวเตอร์วิทัศน์,3,2301234 AND (2301265 OR 2301365),,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301475,Logic and Functional Programming,การทำโปรแกรมเชิงตรรกะและการทำโปรแกรมเชิงฟังก์ชัน,3,(2301230 OR 2301233) AND (2301263 OR 2301265),,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301476,Artificial Intelligence and Expert,ปัญญาประดิษฐ์และระบบผู้เชี่ยวชาญ,3,(2301230 OR 2301233) AND (2301263 OR 2301265),,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301478,Software Project Management,การจัดการโครงการซอฟต์แวร์,3,2301367 OR 2110423,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301479,Object-Oriented Analysis and Design,การวิเคราะห์และออกแบบเชิงวัตถุ,3,2301361 OR 2301367,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301487,Computer Science Project,โครงการวิทยาการคอมพิวเตอร์,3,,2301399,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301488,Workshop in Computer Science,ฝึกปฏิบัติการทางวิทยาการคอมพิวเตอร์,1,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301490,Seminar,สัมมนา,1,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301491,Special Topics in Computer Science,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301494,Special Topics in Computer Science II,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 2,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301495,Selected Topics in computer Science I,เรื่องคัดเฉพาะทางวิทยาการคอมพิวเตอร์ 1,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301496,Selected Topics in computer Science II,เรื่องคัดเฉพาะทางวิทยาการคอมพิวเตอร์ 2,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301497,Co-Operative Education,สหกิจศึกษา,3,,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301498,Co-Operative Education,สหกิจศึกษา,3,,,Field Experience,"เอกเดี่ยว-สหกิจ-2566,เอกโท-สหกิจ-2566",2566
2301499,Senior Project,โครงงานวิทยาศาสตร์,2,,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301591,Individual Study I,เอกัตศึกษา 1,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301592,Individual Study II,เอกัตศึกษา 2,3,,,Elective Courses(CS),"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301598,Undergraduate Research Project I,โครงงานวิจัยระดับปริญญาบัณฑิต 1,3,,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301599,Undergraduate Research Project II,โครงงานวิจัยระดับปริญญาบัณฑิต 2,3,,,Field Experience,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",2566
2301220,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,Major Courses,เอกเดี่ยว-2561,2568
2301220,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,Major Courses,เอกเดี่ยว-2561,2567
2301220,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,Major Courses,เอกเดี่ยว-2561,2566
2301286,Prob Stat,ความน่าจะเป็นและสถิติ,3,,,Major Courses,เอกเดี่ยว-2561,2568
2301286,Prob Stat,ความน่าจะเป็นและสถิติ,3,,,Major Courses,เอกเดี่ยว-2561,2567
2301286,Prob Stat,ความน่าจะเป็นและสถิติ,3,,,Major Courses,เอกเดี่ยว-2561,2566
2301223,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,Major Courses,เอกเดี่ยว-2561,2568
2301223,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,Major Courses,เอกเดี่ยว-2561,2567
2301223,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,Major Courses,เอกเดี่ยว-2561,2566
2301232,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2568
2301232,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2567
2301232,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2566
2301233,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2568
2301233,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2567
2301233,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2566
2110200,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2568
2110200,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2567
2110200,Discrete Math,คณิตศาสตร์ดีสครีต,3,,,Major Courses,เอกเดี่ยว-2561,2566
2301234,Linear Algebra I,พีชคณิตเชิงเส้น 1,3,2301220,,Major Courses,เอกเดี่ยว-2561,2568
2301234,Linear Algebra I,พีชคณิตเชิงเส้น 1,3,2301220,,Major Courses,เอกเดี่ยว-2561,2567
2301234,Linear Algebra I,พีชคณิตเชิงเส้น 1,3,2301220,,Major Courses,เอกเดี่ยว-2561,2566
2110423,Software Engineering Methodology and Development,วิธีการและการพัฒนาทางวิศวกรรมซอฟต์แวร์,3,2301375,,Major Courses,เอกเดี่ยว-2561,2568
2110423,Software Engineering Methodology and Development,วิธีการและการพัฒนาทางวิศวกรรมซอฟต์แวร์,3,2301375,,Major Courses,เอกเดี่ยว-2561,2567
2110423,Software Engineering Methodology and Development,วิธีการและการพัฒนาทางวิศวกรรมซอฟต์แวร์,3,2301375,,Major Courses,เอกเดี่ยว-2561,2566
2301268,COMPUTATIONAL MATH,คณิตศาสตร์คัณนา,3,,,Major Courses,เอกเดี่ยว-2561,2568
2301268,COMPUTATIONAL MATH,คณิตศาสตร์คัณนา,3,,,Major Courses,เอกเดี่ยว-2561,2567
2301268,COMPUTATIONAL MATH,คณิตศาสตร์คัณนา,3,,,Major Courses,เอกเดี่ยว-2561,2566